Time,WR,HR,VE,BF,VO2rel,HRR,VO2,Unnamed: 8,Unnamed: 9,Unnamed: 10
460.0,116.66666670000001,109.0,33410.85,21.0,16.161727336333332,40.95238095,1.4060702784,,,
461.0,117.08333329999999,109.0,33410.85,21.0,16.060805800222223,40.95238095,1.3972901050666668,,,
462.0,117.5,109.0,33410.85,22.0,16.00428974,40.95238095,1.3923732080000002,,,
463.0,117.91666670000001,109.0,35019.73,22.0,16.00428974,40.95238095,1.3923732080000002,,,
464.0,118.33333329999999,109.0,35019.73,22.0,16.04996802288135,40.95238095,1.3963472185762709,,,
465.0,118.75,109.0,35019.73,22.0,16.376241472033893,40.95238095,1.424733008406779,,,
466.0,119.16666670000001,109.0,35460.625,22.0,16.702514921186435,40.95238095,1.4531187982372873,,,
467.0,119.58333329999999,109.0,35460.625,22.0,16.77429508,40.95238095,1.4593636719999998,,,
468.0,120.0,109.0,35460.625,22.0,16.77429508,40.95238095,1.4593636719999998,,,
469.0,120.41666670000001,109.0,35708.145,22.0,16.77429508,40.95238095,1.4593636719999998,,,
470.0,120.83333329999999,109.0,35708.145,21.0,16.889244647919455,40.95238095,1.4693642843892607,,,
471.0,121.25,109.0,35708.145,21.0,17.2997788190604,40.95238095,1.5050807572080531,,,
472.0,121.66666670000001,109.0,35708.145,20.0,17.71031299020134,40.95238095,1.5407972300268455,,,
473.0,122.08333329999999,109.0,35708.145,20.0,18.02391934277027,40.95238095,1.568080982722973,,,
474.0,122.5,110.0,35708.145,20.0,18.111360785337837,41.904761900000004,1.575688388466216,,,
475.0,122.91666670000001,110.0,36558.995,20.0,18.198802227905404,41.904761900000004,1.5832957942094592,,,
476.0,123.33333329999999,111.0,36558.995,20.0,18.23137041777143,42.85714286,1.586129226817143,,,
477.0,123.75,111.0,36558.995,20.0,18.15741994062857,42.85714286,1.5796955351028572,,,
478.0,124.16666670000001,112.0,36558.995,20.0,18.083469463485716,43.80952381,1.5732618433885714,,,
479.0,124.58333329999999,112.0,34455.075,20.0,18.009518986342858,43.80952381,1.566828151674286,,,
480.0,125.0,112.0,34455.075,20.0,18.063570062363635,43.80952381,1.5715305954363634,,,
481.0,125.41666670000001,112.0,34455.075,20.0,18.14200238660606,43.80952381,1.5783542078606059,,,
482.0,125.83333329999999,112.0,33565.55,20.0,18.220434710848487,43.80952381,1.5851778202848485,,,
483.0,126.25,112.0,33565.55,20.0,18.466654641043487,43.80952381,1.606598954165218,,,
484.0,126.66666670000001,113.0,33565.55,20.0,18.85580475408696,44.76190476,1.6404550137304352,,,
485.0,127.08333329999999,112.0,34501.485,20.0,19.15155884,43.80952381,1.666185619,,,
486.0,127.5,112.0,34501.485,19.0,19.15155884,43.80952381,1.666185619,,,
487.0,127.91666670000001,112.0,34501.485,19.0,19.15155884,43.80952381,1.666185619,,,
488.0,128.3333333,112.0,34393.195,19.0,19.15155884,43.80952381,1.666185619,,,
489.0,128.75,112.0,34393.195,19.0,18.959450981317364,43.80952381,1.6494722353353293,,,
490.0,129.1666667,112.0,34393.195,19.0,18.67693942443114,43.80952381,1.624893729946108,,,
491.0,129.5833333,112.0,33673.84,19.0,18.394427867544916,43.80952381,1.6003152245568866,,,
492.0,130.0,112.0,33673.84,19.0,18.34054053917355,43.80952381,1.5956270269999993,,,
